customer_id,full_name,age,gender,email,city,created_at,loyalty_tier,purchase_count,total_spent,order_goal
18,Katherine Thomas,59,Male,katherine.thomas.9205@example.com,Lahore,2025-05-24 05:23:44.059729,Silver,1,99985.96,63
19,Thomas Jordan,30,Female,thomas.jordan.9792@example.com,Islamabad,2025-05-24 05:23:44.070887,Bronze,1,364405.56,48
20,Alfred Williamson,35,Female,alfred.williamson.2292@example.com,Islamabad,2025-05-24 05:23:44.083524,Silver,1,561379.98,31
21,Kaitlin Hernandez,52,Male,kaitlin.hernandez.8014@example.com,Peshawar,2025-05-24 05:23:44.094616,Bronze,1,708558.13,35
22,Johnny Czachorowski,58,Female,johnny.czachorowski.4847@example.com,Karachi,2025-05-24 05:23:44.135678,Bronze,1,765106.6,7
23,Ida Rigsby,49,Male,ida.rigsby.4595@example.com,Karachi,2025-05-24 05:23:44.160358,Bronze,1,46576.47,47
24,Maria Ripley,48,Male,maria.ripley.7078@example.com,Rawalpindi,2025-05-24 05:23:44.174579,Gold,1,716648.86,10
25,Virginia Delgado,20,Male,virginia.delgado.7930@example.com,Lahore,2025-05-24 05:23:44.185824,Silver,1,276748.24,59
26,Wanda Symonds,30,Female,wanda.symonds.9058@example.com,Karachi,2025-05-24 05:23:44.200795,Bronze,1,75603.64,88
27,Bessie Seney,35,Male,bessie.seney.6453@example.com,Islamabad,2025-05-24 05:23:44.223910,Bronze,1,812722.49,51
28,Sara Snodgrass,24,Male,sara.snodgrass.6991@example.com,Lahore,2025-05-24 05:23:44.248610,Bronze,1,782057.11,54
29,Danielle Hopkins,23,Male,danielle.hopkins.7554@example.com,Islamabad,2025-05-24 05:23:44.259725,Gold,1,708858.06,35
30,Gloria Garcia,57,Female,gloria.garcia.1545@example.com,Peshawar,2025-05-24 05:23:44.270646,Gold,1,147576.96,31
31,Patricia Brzezowski,43,Male,patricia.brzezowski.7517@example.com,Peshawar,2025-05-24 05:24:44.312488,Silver,1,539903.18,28
32,Rosa Mittlestadt,31,Female,rosa.mittlestadt.3833@example.com,Peshawar,2025-05-24 05:24:44.351243,Bronze,1,278439.62,72
33,Holly Felton,52,Male,holly.felton.6167@example.com,Lahore,2025-05-24 05:24:44.366226,Bronze,1,1137458.64,55
34,Joseph Terry,40,Female,joseph.terry.1104@example.com,Multan,2025-05-24 05:24:44.377287,Silver,1,47510.78,44
35,Teresa Brady,45,Male,teresa.brady.7427@example.com,Lahore,2025-05-24 05:24:44.388290,Silver,1,283770.94,94
36,Era Dykes,33,Female,era.dykes.2558@example.com,Lahore,2025-05-24 05:24:44.401489,Bronze,1,156529.59,99
37,Delmar Mitchell,47,Female,delmar.mitchell.2078@example.com,Multan,2025-05-24 05:24:44.415185,Bronze,1,1144380.9,82
38,Connie Cruz,30,Male,connie.cruz.3908@example.com,Peshawar,2025-05-24 05:24:44.426205,Bronze,1,717747.84,39
39,Jeffrey Delossantos,47,Male,jeffrey.delossantos.9216@example.com,Rawalpindi,2025-05-24 05:24:44.444510,Silver,1,142633.16,15
40,Jessica Chang,41,Male,jessica.chang.6393@example.com,Lahore,2025-05-24 05:24:44.458414,Gold,1,76287.44,91
41,Marvin Hamilton,18,Female,marvin.hamilton.2017@example.com,Rawalpindi,2025-05-24 05:24:44.469448,Silver,1,281725.9,80
42,Heidi Garcia,34,Female,heidi.garcia.9117@example.com,Peshawar,2025-05-24 05:24:44.481150,Gold,1,247287.59,26
43,Richard Stuart,49,Female,richard.stuart.5129@example.com,Lahore,2025-05-24 05:24:44.498498,Gold,1,985791.56,38
44,Arlene Cole,39,Female,arlene.cole.1059@example.com,Karachi,2025-05-24 05:24:44.509556,Gold,1,711981.11,17
45,Jocelyn Luebke,30,Female,jocelyn.luebke.3800@example.com,Rawalpindi,2025-05-24 05:24:44.528101,Bronze,1,546010.74,52
46,Ramon Steele,36,Male,ramon.steele.8651@example.com,Peshawar,2025-05-24 05:24:44.541203,Bronze,1,582575.84,3
47,Cynthia Siddiqui,56,Female,cynthia.siddiqui.8622@example.com,Karachi,2025-05-24 05:24:44.559228,Gold,1,462194.84,76
48,Beatrice Gregoire,30,Female,beatrice.gregoire.5712@example.com,Karachi,2025-05-24 05:24:44.572937,Silver,1,151506.8,54
49,Trisha Scoville,38,Male,trisha.scoville.9916@example.com,Quetta,2025-05-24 05:24:44.587756,Gold,1,722257.09,80
50,Daniel Parton,54,Female,daniel.parton.9612@example.com,Islamabad,2025-05-24 05:24:44.600926,Gold,1,266671.23,29
51,John Anchondo,58,Male,john.anchondo.2916@example.com,Peshawar,2025-05-24 05:24:44.622023,Silver,1,48784.72,52
52,Carl Portillo,39,Female,carl.portillo.2459@example.com,Islamabad,2025-05-24 05:24:44.641081,Bronze,1,97889.34,23
53,Consuelo Delaine,58,Male,consuelo.delaine.4574@example.com,Rawalpindi,2025-05-24 05:24:44.675837,Silver,1,677828.0,95
54,Michelle Powell,43,Female,michelle.powell.6910@example.com,Peshawar,2025-05-24 05:24:44.714248,Silver,1,244696.62,13
55,Brenda Taylor,34,Female,brenda.taylor.4426@example.com,Lahore,2025-05-24 05:24:44.725493,Silver,1,742419.42,1
56,Harry Vivier,34,Male,harry.vivier.3955@example.com,Karachi,2025-05-24 05:24:44.744149,Gold,1,277304.2,15
57,Marcie Holloway,42,Female,marcie.holloway.4407@example.com,Rawalpindi,2025-05-24 05:24:44.757012,Gold,1,792719.99,70
58,Laura Mullins,23,Male,laura.mullins.2441@example.com,Karachi,2025-05-24 05:24:44.775861,Bronze,1,905999.16,64
59,Margaret Sims,57,Female,margaret.sims.5178@example.com,Rawalpindi,2025-05-24 05:24:44.787225,Gold,1,592044.2,70
60,Brett Sheeran,51,Male,brett.sheeran.8436@example.com,Rawalpindi,2025-05-24 05:24:44.809033,Gold,1,214959.72,17
61,Rodger Rivera,40,Male,rodger.rivera.1079@example.com,Multan,2025-05-24 05:25:44.845144,Gold,1,890453.78,42
62,Linda Roush,53,Male,linda.roush.3429@example.com,Quetta,2025-05-24 05:25:44.918134,Gold,1,274412.04,59
63,Rene Green,43,Female,rene.green.3720@example.com,Peshawar,2025-05-24 05:25:44.938479,Bronze,1,48109.09,23
64,Charles Yarrington,37,Male,charles.yarrington.3404@example.com,Islamabad,2025-05-24 05:25:44.992495,Gold,1,76594.34,79
65,Candida Doward,21,Female,candida.doward.3062@example.com,Lahore,2025-05-24 05:25:45.040514,Silver,1,1310020.93,83
66,John Jackson,48,Male,john.jackson.7447@example.com,Multan,2025-05-24 05:25:45.062425,Silver,1,802778.51,31
67,Carol Grubb,24,Male,carol.grubb.7454@example.com,Multan,2025-05-24 05:25:45.090889,Gold,1,331979.27,35
68,Jennifer Platt,54,Female,jennifer.platt.5871@example.com,Karachi,2025-05-24 05:25:45.115090,Silver,1,662775.26,23
69,Thomas Miranda,39,Female,thomas.miranda.1459@example.com,Multan,2025-05-24 05:25:45.134547,Gold,1,298885.23,49
70,Alton Baker,51,Female,alton.baker.9533@example.com,Rawalpindi,2025-05-24 05:25:45.179374,Gold,1,238538.46,25
71,Jessica Taylor,28,Male,jessica.taylor.7961@example.com,Rawalpindi,2025-05-24 05:25:45.208465,Silver,1,237532.79,12
72,Colin Sands,25,Female,colin.sands.7583@example.com,Multan,2025-05-24 05:25:45.228028,Bronze,1,928287.06,27
73,Dudley Newman,20,Female,dudley.newman.2278@example.com,Multan,2025-05-24 05:25:45.245323,Bronze,1,1387837.18,96
74,Calvin Stewart,23,Female,calvin.stewart.6876@example.com,Peshawar,2025-05-24 05:25:45.270401,Gold,1,1025314.41,47
75,Donn Highland,47,Male,donn.highland.1432@example.com,Quetta,2025-05-24 05:25:45.297512,Gold,1,257183.19,86
76,Celia Reyes,21,Female,celia.reyes.3097@example.com,Islamabad,2025-05-24 05:25:45.315938,Gold,1,319978.05,31
77,Mary Bonney,57,Female,mary.bonney.5679@example.com,Karachi,2025-05-24 05:25:45.337106,Gold,1,728259.6,67
78,Bridget Smith,22,Female,bridget.smith.7751@example.com,Peshawar,2025-05-24 05:25:45.353711,Gold,1,678677.38,23
79,Joyce Heishman,36,Male,joyce.heishman.6526@example.com,Peshawar,2025-05-24 05:25:45.398041,Silver,1,852336.62,29
80,Donna Jones,59,Male,donna.jones.4825@example.com,Quetta,2025-05-24 05:25:45.415312,Silver,1,101301.84,25
81,Ethel Mounsey,18,Female,ethel.mounsey.8159@example.com,Peshawar,2025-05-24 05:25:45.450799,Silver,1,772767.5,52
82,Nicole Warren,42,Male,nicole.warren.3292@example.com,Islamabad,2025-05-24 05:25:45.475181,Silver,1,656518.12,23
83,Guillermo Bolduc,29,Male,guillermo.bolduc.9667@example.com,Islamabad,2025-05-24 05:25:45.495265,Bronze,1,863987.6,31
84,Franklin Burns,42,Male,franklin.burns.3221@example.com,Islamabad,2025-05-24 05:25:45.513261,Bronze,1,361408.61,57
85,Lamar Young,34,Female,lamar.young.1123@example.com,Multan,2025-05-24 05:25:45.529578,Silver,1,103660.4,92
86,Stacy Crook,55,Female,stacy.crook.5469@example.com,Rawalpindi,2025-05-24 05:25:45.549835,Gold,1,684995.18,64
87,Kathleen Parker,40,Female,kathleen.parker.4834@example.com,Multan,2025-05-24 05:25:45.576166,Bronze,1,575592.06,61
88,Charles English,21,Female,charles.english.9408@example.com,Multan,2025-05-24 05:25:45.595673,Silver,1,820495.3,89
89,Roland Oneal,32,Female,roland.oneal.5701@example.com,Islamabad,2025-05-24 05:25:45.622379,Gold,1,440035.26,94
90,Joseph Olden,23,Male,joseph.olden.5998@example.com,Peshawar,2025-05-24 05:25:45.650711,Gold,1,232063.57,57
91,Glenna Hunt,58,Male,glenna.hunt.7393@example.com,Islamabad,2025-05-24 05:26:45.703686,Silver,1,216674.91,73
92,Gene Muniz,32,Female,gene.muniz.9083@example.com,Multan,2025-05-24 05:26:45.717005,Gold,1,897736.85,39
93,Nelson Williams,32,Male,nelson.williams.8241@example.com,Multan,2025-05-24 05:26:45.728936,Silver,1,917517.58,88
94,Marie Alvarado,37,Male,marie.alvarado.3473@example.com,Islamabad,2025-05-24 05:26:45.740202,Gold,1,48049.67,14
95,Kenneth Way,44,Male,kenneth.way.7362@example.com,Peshawar,2025-05-24 05:26:45.756006,Silver,1,663241.14,17
96,Lucie Parker,36,Male,lucie.parker.6478@example.com,Quetta,2025-05-24 05:26:45.767831,Gold,1,441778.0,62
97,Mary Leonard,25,Female,mary.leonard.8732@example.com,Lahore,2025-05-24 05:26:45.781280,Gold,1,271854.3,71
98,Vincent Abild,57,Male,vincent.abild.1982@example.com,Rawalpindi,2025-05-24 05:26:45.809245,Bronze,1,292154.22,25
99,Ken Peredo,59,Female,ken.peredo.9482@example.com,Lahore,2025-05-24 05:26:45.835871,Gold,1,72519.68,17
100,Charles Chiu,35,Male,charles.chiu.7130@example.com,Rawalpindi,2025-05-24 05:26:45.855072,Gold,1,706756.85,83
101,Douglas Powell,20,Male,douglas.powell.1830@example.com,Quetta,2025-05-24 05:26:56.614155,Bronze,1,1119483.5,13
102,Sally Hoffman,34,Female,sally.hoffman.5755@example.com,Rawalpindi,2025-05-24 05:26:56.631720,Silver,1,542276.94,94
103,Kevin Pane,56,Male,kevin.pane.7206@example.com,Quetta,2025-05-24 05:26:56.676053,Gold,1,263960.92,91
104,Holly Goldblatt,36,Female,holly.goldblatt.6459@example.com,Peshawar,2025-05-24 05:26:56.707814,Bronze,1,147379.3,29
105,Robert Ardito,43,Male,robert.ardito.2715@example.com,Karachi,2025-05-24 05:26:56.735179,Bronze,1,312238.3,56
106,Elfreda Lineberry,26,Female,elfreda.lineberry.7777@example.com,Karachi,2025-05-24 05:26:56.753842,Gold,1,279197.37,85
107,Joni Bachand,32,Female,joni.bachand.2333@example.com,Lahore,2025-05-24 05:26:56.774460,Gold,1,514900.0,20
108,Liz Cisneros,41,Female,liz.cisneros.5897@example.com,Lahore,2025-05-24 05:26:56.788509,Bronze,1,734137.91,64
109,Don Reinking,33,Female,don.reinking.5682@example.com,Karachi,2025-05-24 05:26:56.860560,Gold,1,952804.86,75
110,Mildred Yetsko,24,Female,mildred.yetsko.7327@example.com,Rawalpindi,2025-05-24 05:26:56.910185,Silver,1,328040.81,39
111,Joshua Martinez,57,Male,joshua.martinez.9933@example.com,Islamabad,2025-05-24 05:26:56.924321,Silver,1,304270.52,64
112,Lisa Daniels,47,Female,lisa.daniels.2361@example.com,Rawalpindi,2025-05-24 05:26:56.950373,Bronze,1,98339.84,81
113,Dan Casillas,58,Male,dan.casillas.9853@example.com,Multan,2025-05-24 05:26:56.986587,Bronze,1,242655.66,89
114,Heather Sudbury,24,Female,heather.sudbury.5387@example.com,Rawalpindi,2025-05-24 05:26:57.017522,Bronze,1,290899.54,30
115,Timothy Isom,36,Male,timothy.isom.4051@example.com,Rawalpindi,2025-05-24 05:26:57.030837,Gold,1,519569.22,52
116,Suzanne Fitch,19,Male,suzanne.fitch.6367@example.com,Islamabad,2025-05-24 05:26:57.046052,Bronze,1,363110.1,6
117,Walter Hackathorn,22,Female,walter.hackathorn.1377@example.com,Karachi,2025-05-24 05:26:57.073064,Silver,1,467632.3,83
118,John Sou,47,Male,john.sou.9903@example.com,Karachi,2025-05-24 05:26:57.120069,Silver,1,840061.93,16
119,Vanessa Lefebvre,39,Female,vanessa.lefebvre.9495@example.com,Multan,2025-05-24 05:26:57.155128,Silver,1,355440.22,98
120,Gerald Martinez,52,Female,gerald.martinez.1502@example.com,Peshawar,2025-05-24 05:26:57.167410,Bronze,1,440296.16,2
121,Howard Huffman,28,Female,howard.huffman.9650@example.com,Multan,2025-05-24 05:27:57.180842,Gold,1,286220.52,71
122,Michael Barnes,53,Female,michael.barnes.2161@example.com,Lahore,2025-05-24 05:27:57.206785,Gold,1,513505.3,61
123,Nancy Spencer,41,Female,nancy.spencer.8502@example.com,Lahore,2025-05-24 05:27:57.252849,Bronze,1,238981.59,87
124,Leona Clay,48,Female,leona.clay.6923@example.com,Quetta,2025-05-24 05:27:57.272177,Gold,1,832631.29,27
125,Michael Born,49,Male,michael.born.8532@example.com,Quetta,2025-05-24 05:27:57.286376,Gold,1,608109.42,66
126,Maureen Fikes,37,Male,maureen.fikes.2734@example.com,Rawalpindi,2025-05-24 05:27:57.313312,Bronze,1,50122.71,81
127,Oneida Owens,44,Female,oneida.owens.6899@example.com,Rawalpindi,2025-05-24 05:27:57.357485,Silver,1,72237.29,31
128,Alicia Yazzie,57,Female,alicia.yazzie.4482@example.com,Multan,2025-05-24 05:27:57.425013,Gold,1,853300.87,17
129,Alpha Vega,49,Male,alpha.vega.9277@example.com,Lahore,2025-05-24 05:27:57.438307,Gold,1,576532.34,88
130,Shirley Lane,31,Female,shirley.lane.4263@example.com,Karachi,2025-05-24 05:27:57.454501,Bronze,1,271930.93,78
131,William Freeman,43,Male,william.freeman.9557@example.com,Multan,2025-05-24 05:27:57.468246,Silver,1,506523.58,84
132,Sandra Orsborn,44,Female,sandra.orsborn.9070@example.com,Multan,2025-05-24 05:27:57.507287,Gold,1,145780.3,51
133,Ashley Burton,23,Male,ashley.burton.5785@example.com,Islamabad,2025-05-24 05:27:57.547640,Silver,1,457949.02,66
134,Patrick Quackenbush,23,Female,patrick.quackenbush.4201@example.com,Karachi,2025-05-24 05:27:57.564185,Silver,1,814841.86,10
135,Dorothy Manning,50,Female,dorothy.manning.3635@example.com,Islamabad,2025-05-24 05:27:57.576888,Bronze,1,999548.9,82
136,Carol Bame,23,Male,carol.bame.4826@example.com,Multan,2025-05-24 05:27:57.602320,Bronze,1,232500.8,52
137,Janis Harris,38,Male,janis.harris.1640@example.com,Lahore,2025-05-24 05:27:57.620637,Gold,1,823649.92,99
138,Porfirio Handelman,44,Male,porfirio.handelman.8493@example.com,Peshawar,2025-05-24 05:27:57.650269,Gold,1,748040.41,61
139,Emilio Mosteller,39,Male,emilio.mosteller.9224@example.com,Lahore,2025-05-24 05:27:57.669296,Bronze,1,244375.02,91
140,Cynthia Mouton,20,Male,cynthia.mouton.9553@example.com,Karachi,2025-05-24 05:27:57.683550,Silver,1,334449.73,52
141,Vicki Trotter,33,Male,vicki.trotter.5081@example.com,Multan,2025-05-24 05:27:57.697829,Silver,1,220625.77,44
142,Theresa Messer,19,Female,theresa.messer.2413@example.com,Islamabad,2025-05-24 05:27:57.711632,Gold,1,662988.81,33
143,Janice Peres,20,Male,janice.peres.2673@example.com,Rawalpindi,2025-05-24 05:27:57.740070,Gold,1,224357.81,89
144,Ana Beard,22,Male,ana.beard.8381@example.com,Lahore,2025-05-24 05:27:57.755364,Silver,1,512573.76,52
145,Dustin Valentine,60,Male,dustin.valentine.1397@example.com,Quetta,2025-05-24 05:27:57.791137,Gold,1,319190.76,53
146,Roger Virgilio,24,Male,roger.virgilio.9465@example.com,Multan,2025-05-24 05:27:57.825768,Bronze,1,447289.57,49
147,Daniel Mcqueen,40,Female,daniel.mcqueen.7607@example.com,Multan,2025-05-24 05:27:57.843688,Gold,1,295979.85,98
148,David Huskins,26,Female,david.huskins.6586@example.com,Lahore,2025-05-24 05:27:57.861363,Gold,1,1079491.63,91
149,Darryl Haynes,28,Male,darryl.haynes.7609@example.com,Islamabad,2025-05-24 05:27:57.877149,Gold,1,243069.02,14
150,Lisa Ramirez,28,Female,lisa.ramirez.1817@example.com,Lahore,2025-05-24 05:27:57.890010,Bronze,1,219724.72,61
151,Joseph Staggs,57,Female,joseph.staggs.9701@example.com,Rawalpindi,2025-05-24 05:28:57.905288,Bronze,1,155271.4,92
152,Cristi Burridge,47,Male,cristi.burridge.9076@example.com,Lahore,2025-05-24 05:28:57.968600,Silver,1,565090.86,68
153,William Flake,35,Male,william.flake.4037@example.com,Quetta,2025-05-24 05:28:57.986839,Silver,1,843540.77,4
154,Kenneth Terry,58,Female,kenneth.terry.7976@example.com,Islamabad,2025-05-24 05:28:58.004113,Bronze,1,744288.13,82
155,William Walks,56,Male,william.walks.2368@example.com,Islamabad,2025-05-24 05:28:58.030119,Gold,1,997903.51,77
156,Charles Moller,21,Female,charles.moller.2531@example.com,Multan,2025-05-24 05:28:58.046017,Silver,1,578629.16,64
157,Frieda Hagens,43,Female,frieda.hagens.2030@example.com,Lahore,2025-05-24 05:28:58.070261,Silver,1,282560.92,39
158,Andrew Osteen,37,Male,andrew.osteen.7920@example.com,Islamabad,2025-05-24 05:28:58.107912,Silver,1,845608.62,19
159,Judith Troxler,22,Female,judith.troxler.9143@example.com,Multan,2025-05-24 05:28:58.127943,Bronze,1,144295.38,80
160,Steven Fehrle,34,Male,steven.fehrle.1145@example.com,Karachi,2025-05-24 05:28:58.169797,Silver,1,722825.99,40
161,Lisa Noya,60,Female,lisa.noya.4956@example.com,Karachi,2025-05-24 05:28:58.229863,Bronze,1,714573.76,44
162,Jeremy Gioe,33,Female,jeremy.gioe.4404@example.com,Islamabad,2025-05-24 05:28:58.275352,Bronze,1,237041.89,80
163,Mckenzie Ruhland,58,Female,mckenzie.ruhland.5467@example.com,Rawalpindi,2025-05-24 05:28:58.307650,Gold,1,773553.52,43
164,Anna Dilly,33,Male,anna.dilly.3752@example.com,Karachi,2025-05-24 05:28:58.352258,Bronze,1,932201.6,32
165,Ryan Carlson,21,Female,ryan.carlson.2209@example.com,Rawalpindi,2025-05-24 05:28:58.366370,Gold,1,72579.64,56
166,Daniel Magano,47,Female,daniel.magano.8783@example.com,Rawalpindi,2025-05-24 05:28:58.420876,Silver,1,218481.88,35
167,Barbara Mosley,47,Male,barbara.mosley.3478@example.com,Islamabad,2025-05-24 05:28:58.434325,Silver,1,256417.86,50
168,Theresa Stanton,55,Male,theresa.stanton.9561@example.com,Karachi,2025-05-24 05:28:58.447151,Silver,1,854718.15,98
169,Robert Sandate,43,Male,robert.sandate.3000@example.com,Peshawar,2025-05-24 05:28:58.478870,Gold,1,938431.12,66
170,Melissa Greer,58,Male,melissa.greer.6198@example.com,Peshawar,2025-05-24 05:28:58.492740,Bronze,1,944214.76,40
171,Luis Maxwell,24,Male,luis.maxwell.3890@example.com,Karachi,2025-05-24 05:28:58.509102,Bronze,1,705432.14,20
172,Veda Heck,34,Female,veda.heck.3919@example.com,Peshawar,2025-05-24 05:28:58.522436,Silver,1,241768.27,23
173,Edna Burtt,51,Female,edna.burtt.8054@example.com,Islamabad,2025-05-24 05:28:58.547309,Silver,1,51176.66,10
174,Henry Hall,51,Female,henry.hall.9389@example.com,Rawalpindi,2025-05-24 05:28:58.571364,Gold,1,334792.23,50
175,Marie Fowler,29,Female,marie.fowler.5507@example.com,Peshawar,2025-05-24 05:28:58.585132,Gold,1,439554.32,67
176,James Harmon,32,Female,james.harmon.4516@example.com,Islamabad,2025-05-24 05:28:58.644333,Silver,1,1159308.95,93
177,Donald Lanzillo,46,Female,donald.lanzillo.5199@example.com,Multan,2025-05-24 05:28:58.697205,Silver,1,219307.7,40
178,Aline Richardson,54,Female,aline.richardson.2836@example.com,Multan,2025-05-24 05:28:58.711839,Bronze,1,385073.92,13
179,Oma Davis,24,Female,oma.davis.5978@example.com,Lahore,2025-05-24 05:28:58.724952,Silver,1,76746.99,76
180,James Mayberry,29,Female,james.mayberry.8308@example.com,Rawalpindi,2025-05-24 05:28:58.743312,Silver,1,355506.2,33
181,Keith Poore,48,Male,keith.poore.3261@example.com,Lahore,2025-05-24 05:29:58.759393,Silver,1,314504.17,21
182,Jessica Cotman,33,Female,jessica.cotman.4393@example.com,Quetta,2025-05-24 05:29:58.792678,Silver,1,48667.24,43
183,James Simon,44,Male,james.simon.9235@example.com,Multan,2025-05-24 05:29:58.805742,Silver,1,699797.4,13
184,Mary Kimbrel,47,Female,mary.kimbrel.6265@example.com,Karachi,2025-05-24 05:29:58.858312,Bronze,1,1300237.56,56
185,Christina Struck,59,Male,christina.struck.6669@example.com,Multan,2025-05-24 05:29:58.874099,Bronze,1,476761.72,90
186,John Vasquez,54,Female,john.vasquez.9242@example.com,Karachi,2025-05-24 05:29:58.886625,Silver,1,439767.5,45
187,Tracy Hickling,49,Male,tracy.hickling.1033@example.com,Quetta,2025-05-24 05:29:58.915019,Gold,1,762426.72,93
188,Mary Johnson,51,Female,mary.johnson.6041@example.com,Multan,2025-05-24 05:29:58.941722,Silver,1,870265.27,80
189,Michael Ferry,53,Female,michael.ferry.6022@example.com,Multan,2025-05-24 05:29:58.955792,Silver,1,775376.42,40
190,Ron Laflore,52,Female,ron.laflore.3556@example.com,Karachi,2025-05-24 05:29:59.022957,Gold,1,552704.88,37
191,Nora Bradshaw,55,Male,nora.bradshaw.7329@example.com,Islamabad,2025-05-24 05:29:59.039945,Silver,1,778380.27,76
192,Denise Walsh,31,Female,denise.walsh.7774@example.com,Rawalpindi,2025-05-24 05:29:59.053792,Bronze,1,430849.09,16
193,Cindy Marana,20,Male,cindy.marana.6432@example.com,Quetta,2025-05-24 05:29:59.087117,Silver,1,1327934.43,47
194,William Edwards,38,Male,william.edwards.3110@example.com,Lahore,2025-05-24 05:29:59.124753,Gold,1,668735.22,41
195,Georgie Hanna,41,Male,georgie.hanna.4932@example.com,Rawalpindi,2025-05-24 05:29:59.139946,Gold,1,613457.56,29
196,Frank Makhija,27,Female,frank.makhija.9727@example.com,Peshawar,2025-05-24 05:29:59.196875,Bronze,1,96711.06,7
197,Tommie Parker,25,Male,tommie.parker.8914@example.com,Rawalpindi,2025-05-24 05:29:59.215429,Bronze,1,798074.63,37
198,Ricky Read,38,Male,ricky.read.3969@example.com,Lahore,2025-05-24 05:29:59.239154,Silver,1,779653.72,66
199,Gary Chang,38,Female,gary.chang.5804@example.com,Karachi,2025-05-24 05:29:59.280472,Bronze,1,46985.94,95
200,Linda Vinson,52,Male,linda.vinson.9665@example.com,Lahore,2025-05-24 05:29:59.294550,Gold,1,487317.22,29
201,Mary Tipton,31,Female,mary.tipton.8411@example.com,Multan,2025-05-24 05:30:10.116269,Silver,1,77763.69,6
202,Rita Randle,22,Male,rita.randle.4316@example.com,Islamabad,2025-05-24 05:30:10.131882,Gold,1,233123.81,28
203,Evelyn Rankin,28,Male,evelyn.rankin.4924@example.com,Quetta,2025-05-24 05:30:10.145164,Bronze,1,345628.12,67
204,Tracey Crosby,25,Male,tracey.crosby.7259@example.com,Quetta,2025-05-24 05:30:10.165592,Gold,1,95298.1,95
205,Tyler Jaquez,27,Female,tyler.jaquez.9040@example.com,Multan,2025-05-24 05:30:10.185123,Gold,1,828453.26,56
206,Laurie Haydock,36,Male,laurie.haydock.4232@example.com,Karachi,2025-05-24 05:30:10.223333,Bronze,1,73628.14,61
207,Travis Corriveau,43,Male,travis.corriveau.5103@example.com,Multan,2025-05-24 05:30:10.241082,Gold,1,146042.18,35
208,William Wagner,37,Male,william.wagner.9318@example.com,Quetta,2025-05-24 05:30:10.253372,Bronze,1,50938.58,97
209,John Green,59,Female,john.green.6752@example.com,Quetta,2025-05-24 05:30:10.267601,Bronze,1,237435.46,100
210,Robin Rau,51,Male,robin.rau.7403@example.com,Quetta,2025-05-24 05:30:10.281516,Gold,1,854505.37,61
211,Michelle Lenhart,40,Female,michelle.lenhart.8068@example.com,Peshawar,2025-05-24 05:31:10.306937,Gold,1,47049.34,57
212,Carolyn Taylor,31,Male,carolyn.taylor.1209@example.com,Karachi,2025-05-24 05:31:10.322053,Gold,1,706096.23,10
213,Nancy Calvert,29,Male,nancy.calvert.1576@example.com,Karachi,2025-05-24 05:31:10.342744,Silver,1,321244.93,17
214,Britany Oshields,45,Male,britany.oshields.4356@example.com,Multan,2025-05-24 05:31:10.370819,Silver,1,701716.22,68
